Llave,Valor,Image Name
Referencias,"[1] Dermatofitosis (tiña Infecciones). Información médica. Paciente. Disponible en: https://patient.info/doctor/dermatophytosis-tinea-infections. (Consultado: 29no de septiembre de 2017)
[2] La dermatofitosis (tiña Infecciones). Información médica. Paciente. Disponible en: https://patient.info/doctor/dermatophytosis-tinea-infections. (Consultado: 29no de septiembre de 2017)
[3] Sitio Web. Disponible en: http://cks.nice.org.uk/fungal-skin-infection-body-and-groin. (Consultado: 29no de septiembre de 2017)
[4] La dermatofitosis (tiña Infecciones). Información médica. Paciente. Disponible en: https://patient.info/doctor/dermatophytosis-tinea-infections. (Consultado: 29no de septiembre de 2017)
[5] La dermatofitosis (tiña Infecciones). Información médica. Paciente. Disponible en: https://patient.info/doctor/dermatophytosis-tinea-infections. (Consultado: 29no de septiembre de 2017)
[6] reacciones dermatofítide | Dermnet Nueva Zelanda. Disponible en: http://dermnetnz.org/fungal/ide.html. (Consultado: 29no de septiembre de 2017)
[7] Tiña corporis Tratamiento y manejo: atención médica, quirúrgica, complicaciones. Disponible en: http://emedicine.medscape.com/article/1091473-treatment. (Consultado: 29no de septiembre de 2017)
[8] Sitio Web. Disponible en: http://www.evidence.nhs.uk/formulary/bnf/current/. (Consultado: 29no de septiembre de 2017)
[9] La dermatofitosis (tiña Infecciones). Información médica. Paciente. Disponible en: https://patient.info/doctor/dermatophytosis-tinea-infections. (Consultado: 29no de septiembre de 2017)
",
5.3.2 La Candidiasis,,
Presentación,"Candidiasis menudo se presenta con dolor y picazón.

Dependiendo de las diferentes formas de la candidiasis cutánea la apariencia puede variar:
, Área de piel húmeda -Red
pústulas o pápulas -posiblemente
escala-amarillo-blanco en la superficie (se parece a las cuajadas).

Hay diferentes formas de candidiasis cutánea, las más frecuentes:
-Intertrigo (infección pliegue de la piel).
infecciones de las uñas -Candida
paroniquia -Chronic u onicomicosis.
dermatitis -Napkin.
-Balanitis.
candidiasis -Mucocutaneous.
-Candida foliculitis.

[1]",
Causas,"Los siguientes factores incrementan la probabilidad de candidiasis ocurre [1,2]:
-Irritated o piel dañada.
Los pacientes que toman antibióticos.
-Poorly controlada la diabetes.
-Immunodeficiency por ejemplo VIH.
-Menopausia.
-El embarazo.",
Evaluación,"En nuestro entorno clínico, el acceso a las investigaciones es limitada. Diagnóstico clínico estará basado en la presentación clínica del paciente. Si usted está en duda, el enlace con un proveedor médico principal. Si todavía está luchando considerar agregar el caso de SERMO.",
Administración,"<b> Las medidas generales </b>
oclusión -Evitar de piel.
-Evitar la obesidad.
piel seca -Manténgase.
área -Expose al aire cuando sea apropiado.
-Lave con emolientes como sustitutos de jabón.
-Dry a fondo después del lavado.

<b> El tratamiento farmacológico </b>

<b> Infecciones Candida piel </b>
-Clotrimazole 1% en crema dos veces al día.
-Continuar hasta 1 semana después resolución.

<b> En el caso del tratamiento fracasado </b>
2ª línea:
150 mg de fluconazol una vez.
<I> Debe evitarse en el embarazo y la lactancia materna. </ I>

<b> Otras infecciones por Candida ... </b>

<b> Nappy Rash </b>
Aplicar óxido de zinc durante 2-3 semanas.
Si es grave; crema de clotrimazol 1%, 2-3x / día; 7 días.

<b> candidiasis oral </b>
nistatina Oral 7 días.
1 mes-1 año: 200.000 UI 4x / día.
Niños 2-17 años: 400.000 UI 4x / día.
Adultos 600.000 UI x 4 / día.

* <I> La candidiasis vaginal - véase la sección de ginecología </ i>
",
Complicaciones,"La candidiasis invasiva se puede desarrollar. Esta expresión abarca las condiciones candidemia y candidiasis tejido profundo. Si sospecha alguna de estas condiciones, urgente ingreso en el hospital es necesario. [4]",
Referencias,"[1] Sitio Web. Disponible en: https://cks.nice.org.uk/candida-skin. (Consultado: 23ro de octubre de 2017).
[2] Elecciones, N. La candidiasis bucal en hombres - NHS Choices. (2017).
[3] Sitio Web. Disponible en: https://bnf.nice.org.uk/. (Consultado: 23ro de octubre de 2017).
[4] La candidiasis | Doctor. Disponible en: https://patient.info/doctor/candidiasis. (Consultado: 23ro de octubre de 2017).
",
10.3.3 Pitiriasis Versicolor,,
Presentación,"Una infección de levadura común que causa lesiones maculares y manchas de pigmentación alterada (por lo general hipopigmentación) se observa principalmente en el tronco.

Estas lesiones con frecuencia se extienden hasta el cuello, los brazos y el abdomen y, a veces pueden ocurrir en otros sitios.

La cara puede verse afectada en los niños.

Hay una escala superficial que se ve mejor por el estiramiento de la piel afectada, o frotando la superficie.

[1]",
Causas,"Relativamente común en climas cálidos y húmedos. Pitiriasis tiene una prevalencia estimada en torno a un 30-40%.

La mayoría de las infecciones se producen en personas sanas normales, pero los siguientes factores incrementan el riesgo:

-Hyperhidrosis o sudoración excesiva.
-Occlusive ropa, apósitos o ungüentos.
-Immunosuppression o inmunodeficiencia.
-Desnutrición.

[2]",
Evaluación,"El diagnóstico clínico es más a menudo en nuestro medio. El diferencial principal es Pitiriasis Alba, que es una hipopigmentación post-inflamatoria.

Lo mejor es tener un buen historial de problemas de la piel (infecciones recientes / eritema / escalado).

Consulte con un proveedor médico principal en caso de duda.

Una opción alternativa es colocar el caso en SERMO en caso de que no esté seguro.",
Administración,"Primera linea:
Clotrimazol 1% en crema 2 veces al día durante 4 semanas.

* <I> Si tratamiento de primera línea falla, entonces revisar el diagnóstico y el trato con el segunda línea si es apropiado. </ I>

Segunda linea:
150 mg de fluconazol una vez por semana durante 2-4 semanas (adultos).

<b> Educación para la Salud </b>
No comparta toallas.
Lavar la ropa, sábanas y toallas en un lavado con agua caliente.
Permita que las prendas se sequen al sol directo.

[3]
",
Complicaciones,"La recurrencia es muy común.

Hipopigmentación de la piel puede persistir durante meses después del tratamiento.

[3,4]",
Referencias,"[1] Pitiriasis versicolor. El tratamiento de la pitiriasis versicolor. Disponible en: https://patient.info/doctor/pityriasis-versicolor-pro. (Consultado: 23ro de octubre de 2017).
[2] Sitio Web. Disponible en: http://cks.nice.org.uk/pityriasis-versicolor#!management. (Consultado: 23ro de octubre de 2017).
[3] Pitiriasis versicolor. El tratamiento de la pitiriasis versicolor. Disponible en: https://patient.info/doctor/pityriasis-versicolor-pro. (Consultado: 23ro de octubre de 2017).
[4] Pitiriasis versicolor. El tratamiento de la pitiriasis versicolor. Disponible en: https://patient.info/doctor/pityriasis-versicolor-pro. (Consultado: 23ro de octubre de 2017).",
10.4 Cuidado De La Herida,,
Presentación,"el conocimiento de los pacientes sobre el cuidado de heridas es generalmente pobre en esta área. Inicialmente evaluar la herida y la necesidad de cierre.

Evaluar [1,2,3] el modo de lesión, momento de la lesión, el tipo de herida, ubicación (proximidad a los principales vasos y nervios), forma de la herida, la profundidad y dirección.

También verifique la presencia de un cuerpo extraño potencial y para que subyace a la lesión estructural.

El siguiente paso es lograr la hemostasia [4]. Esto puede ser espontánea, pero puede requerir presión o elevación. No utilice un torniquete. [4,5]

",
Limpieza Y Sutura,"Tenga en cuenta el hecho de que a menudo el paciente estará en una gran cantidad de dolor! A veces es necesaria la analgesia.

Use lidocaína hasta 3 mg / kg. NB: una solución al 1% contiene 10 mg / mL. [4,5]

<b> cierre de la herida </b>
El momento de cierre de la herida se basará en la evaluación de la herida [6,7]:

El cierre primario:
cierre inmediato se puede utilizar para las heridas simples menos de 12 horas de edad con los bordes opuestos.

Retraso en el cierre primario:
Si existe un alto riesgo de infección.
Dar antibióticos profilácticos y cerrar después de unos días.
Esto es algo que se pueda hacer en un seguimiento.

Cierre secundario:
Permitir que la herida para cerrar por sí mismo si un bocado (excepto en la cara) o se ha separado de bordes o infección.
Esto puede resultar en el aumento de la cicatrización.

<b> Tipo de cierre </b> [6,7,8]
Si el cierre primario se decide, en general, tenemos 3 opciones disponibles: steristrips, adhesivos tisulares y / o suturas.
Tenga en cuenta que tendrá que ser retirado las suturas.
A menudo, esto puede ser problemático en nuestro medio por lo que si esta opción se elige un plan de eliminación adecuada es esencial.

Steristrips se pueden utilizar para las pequeñas heridas o para permitir el drenaje cuando sea necesario.

Para las pequeñas laceraciones superficiales, considerar el uso de adhesivos de tejidos [12] si está disponible.

Si se utilizan suturas, asesorar respecto apropiado seguimiento. Enseñar paciente o cuidador a retirar las suturas de forma higiénica, si el seguimiento no es posible.

Asegúrese de consultar con el LMP en relación con las opciones de gestión de seguimiento y.

En algunas ubicaciones de las clínicas no son trabajadores de la salud que están capacitados para retirar las suturas.

Asegurar que estos trabajadores de la salud siguen el cuidado de las heridas después de que nos hayamos ido puede ser útil.

",
Aderezos Y Seguimiento,"crema antibiótica no se recomienda para el tratamiento de heridas, ya que puede retrasar la curación.

<b> Remoción Sutura </b> [2,4]
-Cara: 4 - 5 días
Con cuello: 7 días
-Arms y dorso de las manos: 7 días.
-Scalp, pecho, abdomen, espalda: 7-10 días.
-Legs y la parte superior de los pies: 10 días.
-Palms, suelas, los dedos o dedos de los pies: 12-14 días.
-Overlying una articulación: 12-14 días.

<b> Las heridas contaminadas </b>
Las heridas sucias y las mordeduras de perro es mejor dejar abierta inicialmente si es probable que esté disponible un seguimiento adecuado.

Sin embargo, si no:
así área -Clean (agua / solución salina estéril).
escombros -remove e irrigar la herida.
-Cerca de la herida y empezar a antibióticos.
-Clindamycin 150-300 mg 3 veces / día: 5-7 días.

<b> Apósitos </b> [11]
“La primera capa en contacto con la superficie de la herida debe ser no adherentes - por ejemplo, una gasa ligeramente lubricado con intersticios.

Los vendajes oclusivos pueden conducir a la maceración con fluido retenido.

La siguiente capa debe ser material absorbente para atraer cualquier exudado de la herida.
 
Finalmente, los rollos de gasa suave cinta puede ser usado para asegurar los materiales iniciales en su lugar.

Los apósitos pueden no ser necesarios si la herida está seca y no se requiere protección adicional “.
[13,11].

Mientras que la rabia es relativamente raro, se han producido algunos casos reportados en Panamá [12]. Los pacientes con mordeduras de murciélagos necesitan la inmunización contra la rabia después de la exposición.

Para todas las heridas sucias (por ejemplo, mordeduras de animales o de estos metales que implican), remitir al paciente a un hospital para la vacunación antitetánica, si el paciente no es uptodate [13], el CDC recomienda una dosis de refuerzo cada 10 años.",
Educación,"<b> Orientación </b>
Explicar claramente el cuidado de heridas que destaca la importancia de:

-Clean agua / vestidor.
-Mantener seco de heridas.
-Cambio de vestir si se moja.
-Diario opinión.
-Counselling de mala cicatrización / infección.",
Referencias,"[1] La leishmaniasis cutánea: Tratamiento. Disponible en: https://www.uptodate.com/contents/cutaneous-leishmaniasis-treatment. (Consultado: 24ta de octubre de 2017)
[2] Preguntas de sutura. Disponible en: http://www.seattlechildrens.org/medical-conditions/symptom-index/suture-questions/. (Consultado: 24ta de octubre de 2017)
[3] Gestión de la herida y sutura simple. Cuidado de la herida información. Disponible en: https://patient.info/doctor/simple-wound-management-and-suturing. (Consultado: 24ta de octubre de 2017)
[4] Gestión de la herida y sutura simple. Cuidado de la herida información. Disponible en: https://patient.info/doctor/simple-wound-management-and-suturing. (Consultado: 24ta de octubre de 2017)
[5] Gestión de la herida y sutura simple. Cuidado de la herida información. Disponible en: https://patient.info/doctor/simple-wound-management-and-suturing. (Consultado: 24ta de octubre de 2017)
[6] Gestión de la herida y sutura simple. Cuidado de la herida información. Disponible en: https://patient.info/doctor/simple-wound-management-and-suturing. (Consultado: 24ta de octubre de 2017)
[7] Sitio Web. Disponible en: http://cks.nice.org.uk/lacerations. (Consultado: 24ta de octubre de 2017)
[8] tratamiento de las heridas y la sutura simple. Cuidado de la herida información. Disponible en: https://patient.info/doctor/simple-wound-management-and-suturing. (Consultado: 24ta de octubre de 2017)
[9] Gestión de la herida y sutura simple. Cuidado de la herida información. Disponible en: https://patient.info/doctor/simple-wound-management-and-suturing. (Consultado: 24ta de octubre de 2017)
[10] Bruns, T. B. & Mack Worthington, J. Usando adhesivo tisular para la reparación de heridas: Una Guía Práctica de Dermabond. AFP 61, 1383-1388 (2000).
[11] Gestión de la herida y sutura simple. Cuidado de la herida información. Disponible en: https://patient.info/doctor/simple-wound-management-and-suturing. (Consultado: 24ta de octubre de 2017)
[12] Gestión de la herida y sutura simple. Cuidado de la herida información. Disponible en: https://patient.info/doctor/simple-wound-management-and-suturing. (Consultado: 24ta de octubre de 2017)
[13] Información de salud para los viajeros a Panamá - vista de los viajeros | Salud del viajero | CDC. Disponible en: https://wwwnc.cdc.gov/travel/destinations/traveler/none/panama. (Consultado: 24ta de octubre de 2017)
",
